IP地址,端口,TLS,数据中心,地区,国家代码,城市,网络延迟
172.64.148.178,2083,true,SJC,North America,US,San Jose,167 ms
172.66.153.170,2087,true,FRA,Europe,DE,Frankfurt,167 ms
172.67.22.237,8443,true,FRA,Europe,DE,Frankfurt,167 ms
172.67.115.117,2087,true,FRA,Europe,DE,Frankfurt,167 ms
172.66.171.14,2053,true,FRA,Europe,DE,Frankfurt,167 ms
104.20.7.57,8443,true,FRA,Europe,DE,Frankfurt,167 ms
172.64.33.200,2053,true,SJC,North America,US,San Jose,167 ms
172.64.96.178,2083,true,SFO,North America,US,San Francisco,167 ms
172.67.55.16,2087,true,FRA,Europe,DE,Frankfurt,167 ms
162.159.134.3,2053,true,FRA,Europe,DE,Frankfurt,167 ms
172.67.34.91,2083,true,FRA,Europe,DE,Frankfurt,167 ms
172.66.216.124,2087,true,FRA,Europe,DE,Frankfurt,167 ms
172.67.25.77,2096,true,FRA,Europe,DE,Frankfurt,167 ms
172.66.213.86,2083,true,FRA,Europe,DE,Frankfurt,167 ms
104.24.139.61,2083,true,FRA,Europe,DE,Frankfurt,167 ms
198.41.211.56,2053,true,FRA,Europe,DE,Frankfurt,167 ms
172.67.117.225,2083,true,FRA,Europe,DE,Frankfurt,167 ms
104.24.142.114,2096,true,FRA,Europe,DE,Frankfurt,167 ms
198.41.214.135,2053,true,SJC,North America,US,San Jose,167 ms
172.67.34.184,8443,true,FRA,Europe,DE,Frankfurt,167 ms
172.66.154.89,8443,true,FRA,Europe,DE,Frankfurt,167 ms
172.64.69.142,2096,true,FRA,Europe,DE,Frankfurt,167 ms
172.67.16.144,2087,true,FRA,Europe,DE,Frankfurt,167 ms
172.66.207.125,2083,true,FRA,Europe,DE,Frankfurt,167 ms
172.66.213.44,2096,true,FRA,Europe,DE,Frankfurt,167 ms
172.67.50.208,2053,true,FRA,Europe,DE,Frankfurt,167 ms
104.24.78.201,2096,true,FRA,Europe,DE,Frankfurt,167 ms
172.66.197.107,2087,true,FRA,Europe,DE,Frankfurt,167 ms
104.27.9.68,2096,true,FRA,Europe,DE,Frankfurt,167 ms
198.41.199.221,2087,true,SJC,North America,US,San Jose,167 ms
162.159.141.63,2083,true,FRA,Europe,DE,Frankfurt,167 ms
172.66.156.172,2096,true,FRA,Europe,DE,Frankfurt,167 ms
172.67.15.58,2096,true,FRA,Europe,DE,Frankfurt,167 ms
172.66.217.23,2087,true,FRA,Europe,DE,Frankfurt,167 ms
162.159.138.28,8443,true,FRA,Europe,DE,Frankfurt,167 ms
104.27.54.63,2083,true,FRA,Europe,DE,Frankfurt,167 ms
172.67.62.105,2083,true,FRA,Europe,DE,Frankfurt,167 ms
104.27.205.59,8443,true,FRA,Europe,DE,Frankfurt,167 ms
172.67.15.116,2096,true,FRA,Europe,DE,Frankfurt,167 ms
190.93.245.123,2087,true,SJC,North America,US,San Jose,168 ms
104.24.207.105,2083,true,FRA,Europe,DE,Frankfurt,168 ms
172.66.146.125,8443,true,FRA,Europe,DE,Frankfurt,168 ms
172.67.68.200,2096,true,FRA,Europe,DE,Frankfurt,168 ms
162.159.137.81,2083,true,FRA,Europe,DE,Frankfurt,168 ms
172.66.133.213,2096,true,FRA,Europe,DE,Frankfurt,168 ms
104.20.11.52,2083,true,FRA,Europe,DE,Frankfurt,168 ms
104.24.238.246,8443,true,FRA,Europe,DE,Frankfurt,168 ms
172.67.9.206,2087,true,FRA,Europe,DE,Frankfurt,168 ms
198.41.202.175,2087,true,SJC,North America,US,San Jose,168 ms
172.66.160.160,2096,true,FRA,Europe,DE,Frankfurt,168 ms
104.24.163.227,2096,true,FRA,Europe,DE,Frankfurt,168 ms
104.27.45.163,2087,true,FRA,Europe,DE,Frankfurt,168 ms
162.159.152.155,8443,true,FRA,Europe,DE,Frankfurt,168 ms
172.67.124.92,8443,true,FRA,Europe,DE,Frankfurt,168 ms
172.66.207.252,2087,true,FRA,Europe,DE,Frankfurt,168 ms
172.66.134.99,2087,true,FRA,Europe,DE,Frankfurt,168 ms
162.159.43.45,2096,true,FRA,Europe,DE,Frankfurt,168 ms
172.67.60.106,2096,true,FRA,Europe,DE,Frankfurt,168 ms
172.66.167.171,2087,true,FRA,Europe,DE,Frankfurt,168 ms
172.67.7.84,2083,true,FRA,Europe,DE,Frankfurt,168 ms
172.66.195.227,2083,true,FRA,Europe,DE,Frankfurt,168 ms
172.67.48.254,8443,true,FRA,Europe,DE,Frankfurt,168 ms
172.67.113.204,8443,true,FRA,Europe,DE,Frankfurt,168 ms
104.27.206.149,2096,true,FRA,Europe,DE,Frankfurt,168 ms
172.64.36.113,2087,true,SJC,North America,US,San Jose,168 ms
172.64.145.35,2087,true,SJC,North America,US,San Jose,168 ms
172.67.76.61,2053,true,FRA,Europe,DE,Frankfurt,168 ms
104.24.161.157,2096,true,FRA,Europe,DE,Frankfurt,168 ms
172.66.207.195,8443,true,FRA,Europe,DE,Frankfurt,168 ms
172.67.3.162,2087,true,FRA,Europe,DE,Frankfurt,168 ms
104.25.232.74,2053,true,FRA,Europe,DE,Frankfurt,168 ms
172.66.202.214,8443,true,FRA,Europe,DE,Frankfurt,168 ms
104.27.91.51,2096,true,FRA,Europe,DE,Frankfurt,168 ms
162.159.241.217,2053,true,LAX,North America,US,Los Angeles,168 ms
104.25.51.177,2083,true,FRA,Europe,DE,Frankfurt,168 ms
104.24.65.232,8443,true,FRA,Europe,DE,Frankfurt,168 ms
162.159.138.27,2096,true,FRA,Europe,DE,Frankfurt,168 ms
162.159.33.48,2083,true,SJC,North America,US,San Jose,168 ms
172.66.206.225,8443,true,FRA,Europe,DE,Frankfurt,168 ms
172.67.75.169,2087,true,FRA,Europe,DE,Frankfurt,168 ms
172.67.109.136,2083,true,FRA,Europe,DE,Frankfurt,168 ms
172.66.199.235,2053,true,FRA,Europe,DE,Frankfurt,168 ms
172.66.164.141,8443,true,FRA,Europe,DE,Frankfurt,168 ms
104.27.52.31,2096,true,FRA,Europe,DE,Frankfurt,168 ms
172.67.76.150,2083,true,FRA,Europe,DE,Frankfurt,168 ms
104.16.117.130,2087,true,LAX,North America,US,Los Angeles,169 ms
104.22.74.182,2083,true,FRA,Europe,DE,Frankfurt,169 ms
172.64.83.178,2083,true,SJC,North America,US,San Jose,169 ms
172.64.148.29,2087,true,SJC,North America,US,San Jose,169 ms
172.67.40.237,2096,true,FRA,Europe,DE,Frankfurt,169 ms
172.66.173.254,8443,true,FRA,Europe,DE,Frankfurt,169 ms
172.67.34.127,2053,true,FRA,Europe,DE,Frankfurt,169 ms
172.67.82.249,2096,true,FRA,Europe,DE,Frankfurt,169 ms
172.67.31.196,8443,true,FRA,Europe,DE,Frankfurt,169 ms
172.67.29.250,2053,true,FRA,Europe,DE,Frankfurt,169 ms
104.22.37.212,2096,true,FRA,Europe,DE,Frankfurt,169 ms
198.41.198.87,2087,true,SJC,North America,US,San Jose,169 ms
172.67.95.76,2053,true,FRA,Europe,DE,Frankfurt,169 ms
172.67.106.117,2083,true,FRA,Europe,DE,Frankfurt,169 ms
172.66.208.27,2096,true,FRA,Europe,DE,Frankfurt,169 ms
198.41.195.165,8443,true,SJC,North America,US,San Jose,169 ms
172.67.124.60,2087,true,FRA,Europe,DE,Frankfurt,169 ms
172.67.51.86,2087,true,FRA,Europe,DE,Frankfurt,169 ms
162.159.1.111,2083,true,SJC,North America,US,San Jose,169 ms
104.25.254.31,8443,true,FRA,Europe,DE,Frankfurt,169 ms
162.159.246.134,8443,true,LAX,North America,US,Los Angeles,169 ms
172.67.121.239,2083,true,FRA,Europe,DE,Frankfurt,169 ms
172.67.72.219,2096,true,FRA,Europe,DE,Frankfurt,169 ms
172.67.30.44,2053,true,FRA,Europe,DE,Frankfurt,169 ms
172.64.68.226,2087,true,FRA,Europe,DE,Frankfurt,169 ms
172.66.138.219,2096,true,FRA,Europe,DE,Frankfurt,169 ms
172.64.68.53,2083,true,FRA,Europe,DE,Frankfurt,169 ms
172.66.206.65,2087,true,FRA,Europe,DE,Frankfurt,169 ms
172.66.129.207,2083,true,FRA,Europe,DE,Frankfurt,170 ms
172.66.201.12,2053,true,FRA,Europe,DE,Frankfurt,170 ms
104.25.45.241,2083,true,FRA,Europe,DE,Frankfurt,170 ms
